#MOBILE
Vnum	1
Level   36
Gold	10000
Room	0
HpManaMove   402 402 0 0 1000 1000
Position 8
Flags 262147
AffectedBy   4194856
EndMobile

#MOBILE
Vnum	2
Level   50
Gold	10000
Room	0
HpManaMove   31555 31555 0 0 1000 1000
Position 8
Flags 3
AffectedBy   40
EndMobile

#MOBILE
Vnum	209
Level   4
Gold	0
Room	201
HpManaMove   74 74 0 0 1000 1000
Position 8
Flags 83886209
AffectedBy   0
EndMobile

#MOBILE
Vnum	208
Level   4
Gold	0
Room	202
HpManaMove   59 59 0 0 1000 1000
Position 8
Flags 83886209
AffectedBy   0
EndMobile

#MOBILE
Vnum	206
Level   9
Gold	0
Room	203
HpManaMove   150 150 0 0 1000 1000
Position 8
Flags 16778241
AffectedBy   0
EndMobile

#MOBILE
Vnum	206
Level   8
Gold	0
Room	203
HpManaMove   110 110 0 0 1000 1000
Position 8
Flags 16778241
AffectedBy   0
EndMobile

#MOBILE
Vnum	206
Level   9
Gold	0
Room	203
HpManaMove   135 135 0 0 1000 1000
Position 8
Flags 16778241
AffectedBy   0
EndMobile

#MOBILE
Vnum	206
Level   9
Gold	0
Room	203
HpManaMove   124 124 0 0 1000 1000
Position 8
Flags 16778241
AffectedBy   0
EndMobile

#MOBILE
Vnum	204
Level   50
Gold	0
Room	0
HpManaMove   580 580 0 0 1000 1000
Position 8
Flags 3
AffectedBy   0
EndMobile

#MOBILE
Vnum	204
Level   51
Gold	0
Room	0
HpManaMove   530 530 0 0 1000 1000
Position 8
Flags 3
AffectedBy   0
EndMobile

#MOBILE
Vnum	210
Level   3
Gold	0
Room	0
HpManaMove   36 36 0 0 1000 1000
Position 8
Flags 1027
AffectedBy   0
#OBJECT
Vnum         202
WearLoc      8
Level        2
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	210
Level   3
Gold	0
Room	0
HpManaMove   59 59 0 0 1000 1000
Position 8
Flags 1027
AffectedBy   0
#OBJECT
Vnum         3
Level        1
End

#OBJECT
Vnum         202
WearLoc      8
Level        2
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	207
Level   10
Gold	10
Room	0
HpManaMove   112 112 0 0 1000 1000
Position 8
Flags 16777219
AffectedBy   0
EndMobile

#MOBILE
Vnum	207
Level   10
Gold	10
Room	0
HpManaMove   114 114 0 0 1000 1000
Position 8
Flags 16777219
AffectedBy   0
EndMobile

#MOBILE
Vnum	203
Level   49
Gold	0
Room	0
HpManaMove   560 560 0 0 1000 1000
Position 8
Flags 3
AffectedBy   0
EndMobile

#MOBILE
Vnum	201
Level   49
Gold	0
Room	0
HpManaMove   741 741 0 0 1000 1000
Position 8
Flags 67108867
AffectedBy   0
EndMobile

#MOBILE
Vnum	200
Level   2
Gold	0
Room	0
